category,difficulty,question,option1,option2,option3,option4,answer
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 7,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 8,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 9,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 10,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 11,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 12,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 13,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 14,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 16,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 17,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 18,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 19,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 20,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 1,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 2,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 4,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 5,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 6,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 7,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 8,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 9,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 10,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 11,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 12,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 13,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 14,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 16,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 17,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 18,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 19,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Сложный,[Типы тестирования] Сложный — Вопрос 20,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 1,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 2,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 3,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 4,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 5,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 6,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 7,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 8,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 9,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 10,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 11,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 12,A вариант,B вариант,C вариант,D вариант,C вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 13,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 14,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 15,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 16,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 17,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 18,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 19,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Лёгкий,[Техники дизайна тестов] Лёгкий — Вопрос 20,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 1,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 2,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 3,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 4,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 5,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 6,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 7,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 8,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 9,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 10,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 11,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 12,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 13,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 14,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 15,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 16,A вариант,B вариант,C вариант,D вариант,C вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 17,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 18,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 19,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Средний,[Техники дизайна тестов] Средний — Вопрос 20,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 1,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 2,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 4,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 5,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 6,A вариант,B вариант,C вариант,D вариант,C вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 7,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 8,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 9,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 10,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 11,A вариант,B вариант,C вариант,D вариант,B вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 12,A вариант,B вариант,C вариант,D вариант,C вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 13,A вариант,B вариант,C вариант,D вариант,C вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 14,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 15,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 16,A вариант,B вариант,C вариант,D вариант,D вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 17,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 18,A вариант,B вариант,C вариант,D вариант,A вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 19,A вариант,B вариант,C вариант,D вариант,C вариант
Техники дизайна тестов,Сложный,[Техники дизайна тестов] Сложный — Вопрос 20,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 1,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 2,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 3,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 4,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 5,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 6,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 7,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 8,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 9,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 10,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 11,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 12,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 13,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 14,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 16,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 17,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 18,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 19,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Лёгкий,[Инструменты и фреймворки] Лёгкий — Вопрос 20,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 1,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 2,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 3,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 4,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 5,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 6,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 7,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 8,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 9,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 10,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 11,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 12,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 13,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 14,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 16,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 17,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 18,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 19,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Средний,[Инструменты и фреймворки] Средний — Вопрос 20,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 1,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 2,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 3,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 4,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 5,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 6,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 7,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 8,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 9,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 10,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 11,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 12,A вариант,B вариант,C вариант,D вариант,D вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 13,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 14,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 15,A вариант,B вариант,C вариант,D вариант,C вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 16,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 17,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 18,A вариант,B вариант,C вариант,D вариант,A вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 19,A вариант,B вариант,C вариант,D вариант,B вариант
Инструменты и фреймворки,Сложный,[Инструменты и фреймворки] Сложный — Вопрос 20,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 1,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 2,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 3,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 4,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 5,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 6,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 7,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 8,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 9,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 10,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 11,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 12,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 13,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 14,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 16,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 17,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 18,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 19,A вариант,B вариант,C вариант,D вариант,A вариант
DevOps и контейнеризация,Лёгкий,[DevOps и контейнеризация] Лёгкий — Вопрос 20,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 1,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 2,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 3,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 4,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 5,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 6,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 7,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 8,A вариант,B вариант,C вариант,D вариант,B вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 9,A вариант,B вариант,C вариант,D вариант,D вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 10,A вариант,B вариант,C вариант,D вариант,C вариант
DevOps и контейнеризация,Средний,[DevOps и контейнеризация] Средний — Вопрос 11,A вариант,B вариант,C вариант,D вариант,C вариант
